y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
345.75,1383,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,2.6542,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,19.5,19.25,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,95.0000,95.0000,96.2000,98.4000,101.7000,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1139779.6100,1125163.5750,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,1757.4886,1740.8379,1727.0341,1733.2284,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000,28045.0000,26042.0000,25051.0000,25207.0000,24844.0000
367,1468,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,2.5138,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,19.5,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,95.0000,95.0000,96.2000,98.4000,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1139779.6100,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,1757.4886,1740.8379,1727.0341,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000,28045.0000,26042.0000,25051.0000,25207.0000
370,1480,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,2.4278,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,19.75,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,95.0000,95.0000,96.2000,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1151992.6980,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,1757.4886,1740.8379,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000,28045.0000,26042.0000,25051.0000
344.25,1377,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,2.3451,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,19.75,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,95.0000,95.0000,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1197998.4192,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,1757.4886,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000,28045.0000,26042.0000
350.25,1401,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,2.3777,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,19.75,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,95.0000,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1181451.5766,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,1803.3098,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000,28045.0000
357,1428,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,2.3615,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,19.75,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,95.7000,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1164873.9831,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,1775.6550,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000,31584.0000
369,1476,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,2.2331,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,19.5,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,94.8000,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1125163.5753,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,1843.9622,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000,30194.0000
364.75,1459,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,2.2508,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,19,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,92.6000,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,1151992.6980,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,1867.2535,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000,31917.0000
352,1408,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,2.2169,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,18.5,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,91.7000,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,1139779.6102,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,1829.3605,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000,33456.0000
296.25,1185,2.1571,2.1475,2.1679,2.1551,2.1885,2.2475,2.1773,2.1285,2.1512,2.1611,2.2731,13.75,14.25,14.25,14.75,15.25,15.25,15.75,16.5,17.25,17.25,18,99.7000,99.7000,102.5000,99.6000,101.3000,98.6000,98.3000,104.0000,100.4000,97.5000,93.4000,1427760.4330,1367989.4310,1354033.5260,1291959.5140,1265698.5180,1253697.8330,1239286.2710,1208518.0990,1222452.9540,1249123.7170,1151992.6980,2042.9250,2030.7881,1911.5949,1945.5470,1897.0616,1817.8941,1852.2938,1759.3451,1828.1118,1661.1478,1711.9258,41932.0000,39263.0000,36449.0000,36232.0000,37077.0000,36631.0000,36530.0000,40363.0000,37952.0000,38610.0000,38383.0000
